run_name,error,seed
original_dynamic_tree,0.7597618699073792,42
original_dynamic_tree,0.17446711659431458,142
original_dynamic_tree,0.26533880829811096,242
original_dynamic_tree,0.19109855592250824,342
original_dynamic_tree,0.4799761176109314,442
original_fixed_tree,0.02637365274131298,42
original_fixed_tree,0.012107493355870247,142
original_fixed_tree,0.021035995334386826,242
original_fixed_tree,0.011041340418159962,342
original_fixed_tree,0.01406677532941103,442
fixed_eq9,0.02232593670487404,42
fixed_eq9,0.024324994534254074,142
fixed_eq9,0.01597730442881584,242
fixed_eq9,0.022256333380937576,342
fixed_eq9,0.012314358726143837,442
fixed_eq9_eq12,0.005319452378898859,42
fixed_eq9_eq12,0.0030483989976346493,142
fixed_eq9_eq12,0.001417198684066534,242
fixed_eq9_eq12,0.003369746496900916,342
fixed_eq9_eq12,0.002273883204907179,442
fixed_eq9_eq12_eq13,3.9854847273090854e-05,42
fixed_eq9_eq12_eq13,6.335238867904991e-05,142
fixed_eq9_eq12_eq13,6.617294275201857e-05,242
fixed_eq9_eq12_eq13,3.000199285452254e-05,342
fixed_eq9_eq12_eq13,2.994988790305797e-05,442
